"name","current_rank","nationality","facebook","instagram","twitter","youtube","website","birthday","age","turned_pro","weight_kg","weight_lbs","height","height_cm","birth_city","birth_country","handed","style","coach(es)","rank2021","win2021","lose2021","titles2021","prizemoney2021","bestrank","bestranktime","win","lose","titles","prizemoney"
"Rainer Schuettler",NA,"GER",NA,NA,NA,NA,"http://www.rainer-schuettler.de",1976-04-25,NA,1995,"74","163","5'11","180","Korbach","Germany","Right-Handed","Two-Handed Backhand","Dirk Hordorff",NA,NA,NA,NA,NA,5,2004-04-26,327,337,4,7407508
"Brian Dabul",NA,"ARG",NA,NA,NA,NA,NA,1984-02-24,NA,2001,"70","154","5'7","170","Buenos Aires","Argentina","Left-Handed","Unknown Backhand",NA,NA,NA,NA,NA,NA,82,2009-03-09,15,27,0,728653
"Michal Przysiezny",NA,"POL",NA,NA,NA,NA,NA,1984-02-16,37,2001,"84","185","6'1","185","Glogow","Poland","Right-Handed","Unknown Backhand",NA,NA,NA,NA,NA,NA,57,2014-01-27,31,75,0,1341718
"Ricardas Berankis",104,"LTU","https://www.facebook.com/ricardasberankis","https://www.instagram.com/berankisr/","https://twitter.com/berankisr",NA,NA,1990-06-21,31,2007,"77","170","5'9","175","Vilnius","Lithuania","Right-Handed","Two-Handed Backhand","Janko Tipsarevic, Dirk Hordorff","104","14","18","0",582066,50,2016-05-23,121,141,0,4251390
"Ivan Dodig",12,"CRO","https://www.facebook.com/ivandodigofficial","https://www.instagram.com/ivan_dodig/","https://twitter.com/DodigTennis",NA,NA,1985-01-02,36,2004,"81","179","6'0","183","Medjugorje","Bosnia-Herzegovina","Right-Handed","Two-Handed Backhand","Mladen Dodig","12","38","26","1",516844,4,2015-06-08,352,240,16,8158148
"Lukas Lacko",190,"SVK","https://www.facebook.com/pages/Lukas-Lacko/127721847253686","https://www.instagram.com/lukaslacko/","https://twitter.com/lukilacko",NA,"http://www.lukas-lacko.com/",1987-11-03,34,2005,"87","192","6'2","188","Piestany","Slovakia","Right-Handed","Two-Handed Backhand","Dominik Hrbaty","190","1","1","0",131184,44,2013-01-14,98,148,0,3544426
"Marsel Ilhan",767,"TUR","https://www.facebook.com/Marsel-Ilhan-48669321770/","https://www.instagram.com/marsel1187/","https://twitter.com/MarselTennisTR",NA,"http://www.marselilhan.net",1987-06-11,34,2006,"80","176","6'3","191","Samarkand","Uzbekistan","Right-Handed","Two-Handed Backhand","Erhan Oral","767","0","1","0",11144,77,2015-03-02,33,59,0,1388750
"Filippo Volandri",NA,"ITA",NA,NA,NA,NA,"http://filippovolandri.it",1981-09-05,NA,1997,"73","161","6'0","183","Livorno","Italy","Right-Handed","One-Handed Backhand","Cristian Brandi",NA,NA,NA,NA,NA,25,2007-07-23,178,224,2,3949631
"Dustin Brown",343,"GER","https://www.facebook.com/Dustin-Brown-Tennis-114877435241415/","https://www.instagram.com/dreddy_ja/","https://twitter.com/DreddyTennis",NA,NA,1984-12-08,37,2002,"78","172","6'5","196","Celle","Germany","Right-Handed","Two-Handed Backhand",NA,"343","0","1","0",49230,64,2016-10-10,62,99,0,3039650
"Rui Machado",NA,"POR",NA,NA,NA,NA,NA,1984-04-10,NA,2002,"70","154","5'10","178","Faro","Portugal","Right-Handed","Two-Handed Backhand",NA,NA,NA,NA,NA,NA,59,2011-10-03,29,52,0,900563
"Leonardo Mayer",309,"ARG",NA,"https://www.instagram.com/yacamayer/","https://twitter.com/YacaMayer",NA,NA,1987-05-15,34,2003,"80","176","6'3","191","Corrientes","Argentina","Right-Handed","One-Handed Backhand","Leo Alonso","309","0","1","0",40482,21,2015-06-22,179,197,2,7035089
"Jan Hajek",NA,"CZE",NA,NA,NA,NA,NA,1983-08-07,NA,2000,"80","176","5'11","180","Olomouc","Czech Republic","Right-Handed","Two-Handed Backhand",NA,NA,NA,NA,NA,NA,71,2006-11-06,36,77,0,1427267
"Marcos Daniel",NA,"BRA",NA,NA,NA,NA,NA,1978-07-04,NA,1997,"79","175","5'11","180","Passo Fundo","Brazil","Right-Handed","One-Handed Backhand","Larri Passos, Marcus Barbosa",NA,NA,NA,NA,NA,56,2009-09-14,24,66,0,1177189
"Paul-Henri Mathieu",NA,"FRA","https://www.facebook.com/PHMofficiel/","https://www.instagram.com/phmofficiel/","https://twitter.com/PHMofficiel",NA,"http://www.paulhenrimathieu.fr/",1982-01-12,NA,1999,"74","163","6'1","185","Strasbourg","France","Right-Handed","Two-Handed Backhand","Nicolas Devilder",NA,NA,NA,NA,NA,12,2008-04-07,276,306,4,6299093
"Kei Nishikori",47,"JPN","https://www.facebook.com/keinishikori","https://www.instagram.com/keinishikori/","https://twitter.com/keinishikori",NA,"http://www.keinishikori.com",1989-12-29,31,2007,"73","161","5'10","178","Shimane","Japan","Right-Handed","Two-Handed Backhand","Michael Chang, Max Mirnyi","47","26","17","0",1039795,4,2015-03-02,431,211,12,25065492
"Michael Russell",NA,"USA",NA,NA,"https://twitter.com/MRusselltennis",NA,"http://www.michael-russell.com ",1978-05-01,NA,1998,"70","155","5'8","173","Detroit","MI","Right-Handed","Two-Handed Backhand",NA,NA,NA,NA,NA,NA,60,2007-08-13,77,150,0,2452569
"Igor Kunitsyn",NA,"RUS",NA,NA,NA,NA,NA,1981-09-30,NA,1999,"75","165","5'11","180","Vladivostok","Russia","Right-Handed","Unknown Backhand","Allen Fox",NA,NA,NA,NA,NA,35,2009-07-06,89,152,1,2861069
